SUBGROEPID,SUBGROEPCODE
5735720,PBA-BM-AF/AO/2SEM2
5736945,PBA-BM-AF/3B
5736946,PBA-BM-AF/3B
5736949,PBA-BM-AF/3B
5737885,PBA-SO/LOBR/3A
5737891,PBA-SO/LOBR/3A
5737892,PBA-SO/LOBR/3A
5737893,PBA-SO/LOBR/3A
5737898,PBA-SO/LOBR/3A
5738101,PBA-LO/VT/2A
5738317,PBA-SO/LOBR/AO/2A
5738318,PBA-SO/LOBR/AO/2A
5738319,PBA-SO/LOBR/AO/2A
5738324,PBA-SO/LOBR/AO/2A
5738325,PBA-SO/LOBR/AO/2A
5738328,PBA-SO/LOBR/AO/2A
5738329,PBA-SO/LOBR/AO/2A
5738330,PBA-SO/LOBR/AO/2A
5738331,PBA-SO/LOBR/AO/2A
5738852,PBA-BM-KM/1C
5738856,PBA-BM-KM/1C
5738860,PBA-BM-KM/1C
5738861,PBA-BM-KM/1C
5738862,PBA-BM-KM/1C
5738863,PBA-BM-KM/1C
5738864,PBA-BM-KM/1C
5738865,PBA-BM-KM/1C
5738866,PBA-BM-KM/1C
5739910,PBA-BM-ML/3SEM2
5741777,PBA-BM-AF/3SEM1
5742938,PBA-BM-AF/1C2
5742941,PBA-BM-AF/1C2
5742942,PBA-BM-AF/1C2
5742944,PBA-BM-AF/1C2
5742945,PBA-BM-AF/1C2
5742946,PBA-BM-AF/1C2
5742947,PBA-BM-AF/1C2
5742948,PBA-BM-AF/1C2
5742949,PBA-BM-AF/1C2
5742950,PBA-BM-AF/1C2
5743060,PBA-BM-AF/1C2
5743085,PBA-BM-AF/1C2
5747211,PBA-BM-KM/2B
5747213,PBA-BM-KM/2B
5747215,PBA-BM-KM/2B
5747216,PBA-BM-KM/2B
5747217,PBA-BM-KM/2B
5747219,PBA-BM-KM/2B
5747222,PBA-BM-KM/2B
5747225,PBA-BM-KM/2B
5747226,PBA-BM-KM/2B
5747227,PBA-BM-KM/2B
5747714,PBA-BM-KM/2C
5747715,PBA-BM-KM/2C
5747717,PBA-BM-KM/2C
5747718,PBA-BM-KM/2C
5747721,PBA-BM-KM/2C
5747723,PBA-BM-KM/2C
5747724,PBA-BM-KM/2C
5747726,PBA-BM-KM/2C
5747727,PBA-BM-KM/2C
5747728,PBA-BM-KM/2C
5747729,PBA-BM-KM/2C
5747730,PBA-BM-KM/2C
5747731,PBA-BM-KM/2C
5747882,PBA-BM-ML/3SEM1
5748399,PBA-BM-AF/AO/1SEM2
5748400,PBA-BM-AF/AO/1SEM2
5748422,PBA-BM-AF/AO/1SEM2
