SUBGROEPID,SUBGROEPCODE
5849176,PBA-ORTH/2A1
5849247,PBA-ORTH/3B3
5849323,PBA-ORTH/3B4
5849399,PBA-ORTH/3B5
5849475,PBA-ORTH/3B6
5849734,PBA-TIN-TI/VT/PROG/S1
5850477,PBA-SO/SEM1
5850495,PBA-SO/SEM1
5852555,PBA-BM-AF/3A
5852558,PBA-BM-AF/3A
5852847,PBA-BM-AF/AO/1SEM1
5852849,PBA-BM-AF/AO/1SEM1
5852851,PBA-BM-AF/AO/1SEM1
5852853,PBA-BM-AF/AO/1SEM1
5852854,PBA-BM-AF/AO/1SEM1
5853234,PBA-BMLT-FBT/2D
5853242,PBA-BMLT-FBT/2D
5853258,PBA-BMLT-FBT/2D
5853279,PBA-BMLT-FBT/2D
5853280,PBA-BMLT-FBT/2D
5853281,PBA-BMLT-FBT/2D
5853282,PBA-BMLT-FBT/2D
5853292,PBA-BMLT-FBT/2D
5853293,PBA-BMLT-FBT/2D
5853320,PBA-BMLT-FBT/3C
5853351,PBA-BMLT-FBT/3C
5853353,PBA-BMLT-FBT/3C
5853375,PBA-BMLT-FBT/3C
5853376,PBA-BMLT-FBT/3C
5853409,PBA-BMLT-MLT/2C
5853429,PBA-BMLT-MLT/2C
5853433,PBA-BMLT-MLT/2C
5853434,PBA-BMLT-MLT/2C
5853443,PBA-BMLT-MLT/2C
5853449,PBA-BMLT-MLT/2C
5853450,PBA-BMLT-MLT/2C
5853451,PBA-BMLT-MLT/2C
5853455,PBA-BMLT-MLT/2C
5853469,PBA-BMLT-MLT/2C
5853473,PBA-BMLT-MLT/2C
5853491,PBA-CH/1A1
5853495,PBA-CH/1A1
5853496,PBA-CH/1A1
5853497,PBA-CH/1A1
5853498,PBA-CH/1A1
5853535,PBA-CH/1A1
5853536,PBA-CH/1A1
5853568,PBA-CH/1C1
5853570,PBA-CH/1C1
5853572,PBA-CH/1C1
5853575,PBA-CH/1C1
5853577,PBA-CH/1C1
5853626,PBA-BM-MK/1D
5853634,PBA-BM-MK/1D
5853638,PBA-BM-MK/1D
5853791,PBA-BM-MK/1D
5853863,PBA-ORTH/1D5
5853864,PBA-ORTH/1D5
5853865,PBA-ORTH/1D5
5853911,PBA-ORTH/1D2
5853934,GRAD-PRG1-GENT/DAG/1B
5853935,GRAD-PRG1-GENT/DAG/1B
5853936,GRAD-PRG1-GENT/DAG/1B
5854023,GRAD-WM/2A
5854030,GRAD-WM/2A
5854034,GRAD-WM/2A
5854518,MC/DURC/1
5854519,MC/DURC/1
5854632,PBA-SO/LOBR/1B
5854697,PBA-SO/LOBR/1B
5857660,PBA-AGR-DZ/2F
5857661,PBA-AGR-DZ/2F
5857698,PBA-AGR-DZ/2F
5857700,PBA-AGR-DZ/2F
5857718,PBA-AGR-DZ/2F
5857749,PBA-AGR-DZ/2F
5857769,PBA-AGR-DZ/2F
5857775,PBA-AGR-DZ/2F
5857782,PBA-AGR-DZ/2F
5857785,PBA-AGR-DZ/2F
5857801,PBA-AGR-DZ/2F
5857809,PBA-AGR-DZ/2L
5857810,PBA-AGR-DZ/2L
5857812,PBA-AGR-DZ/2L
5857828,PBA-AGR-DZ/2L
5857829,PBA-AGR-DZ/2L
5857866,PBA-AGR-DZ/2L
5857868,PBA-AGR-DZ/2L
5857882,PBA-AGR-DZ/2L
5857886,PBA-AGR-DZ/2L
5857937,PBA-AGR-DZ/2L
5857943,PBA-AGR-DZ/2L
5857950,PBA-AGR-DZ/2L
5857951,PBA-AGR-DZ/2L
5857953,PBA-AGR-DZ/2L
5857969,PBA-AGR-DZ/2L
5857977,PBA-AGR-DZ/2H
5857978,PBA-AGR-DZ/2H
5857986,PBA-AGR-DZ/2H
5857996,PBA-AGR-DZ/2H
5857997,PBA-AGR-DZ/2H
5858034,PBA-AGR-DZ/2H
5858035,PBA-AGR-DZ/2H
5858036,PBA-AGR-DZ/2H
5858054,PBA-AGR-DZ/2H
5858126,PBA-VPK4/3B3
5858127,PBA-VPK4/3B3
5858150,PBA-VPK4/3B3
5858151,PBA-VPK4/3B3
5858154,PBA-VPK4/3B3
5858155,PBA-VPK4/3B3
5858156,PBA-VPK4/3B3
5858157,PBA-VPK4/3B3
5858272,PBA-AGR-LB/2A2
5858306,PBA-AGR-LB/2A2
5858324,PBA-AGR-LB/2A2
5858328,PBA-AGR-LB/2A2
5858344,PBA-AGR-LB/2A2
5858348,PBA-AGR-LB/2A2
5858371,PBA-AGR-LB/2A2
5858391,PBA-AGR-LB/2A2
5858401,PBA-AGR-LB/2A2
5858442,PBA-AGR-LB/3A2
5858504,PBA-AGR-LB/3A2
5858552,PBA-AGR-LB/3A2
5858562,PBA-AGR-LB/3A2
5858572,PBA-AGR-LB/3A2
5858952,PBA-EM-KL/2B
5858958,PBA-EM-KL/2B
5858968,PBA-EM-KL/2B
5858975,PBA-EM-KL/2B
5858978,PBA-EM-KL/2B
5858979,PBA-EM-KL/2B
5858993,PBA-EM-KL/2B
5859004,PBA-EM-KL/2B
5859012,PBA-EM-KL/2B
5859013,PBA-EM-KL/2B
5859027,PBA-AGR-DZ/2F
5859028,PBA-AGR-DZ/2F
5859030,PBA-AGR-DZ/2F
5859035,PBA-AGR-DZ/3I
5859084,PBA-AGR-DZ/3I
5859154,PBA-AGR-DZ/3I
5859203,PBA-AGR-DZ/3J
5859252,PBA-AGR-DZ/3J
5859322,PBA-AGR-DZ/3J
5859345,PBA-AGR-DZ/3K
5859371,PBA-AGR-DZ/3K
5859420,PBA-AGR-DZ/3K
5859490,PBA-AGR-DZ/3K
5859515,PBA-AGR-DZ/3L
5859658,PBA-AGR-DZ/3L
5859680,PBA-AGR-DZ/2E
5859683,PBA-AGR-DZ/2E
5859699,PBA-AGR-DZ/2E
5859700,PBA-AGR-DZ/2E
5859737,PBA-AGR-DZ/2E
5859738,PBA-AGR-DZ/2E
5859739,PBA-AGR-DZ/2E
5859753,PBA-AGR-DZ/2E
5859757,PBA-AGR-DZ/2E
5859848,PBA-VG-VG/2B2
5859849,PBA-VG-VG/2B2
5859850,PBA-VG-VG/2B2
5859851,PBA-VG-VG/2B2
5859852,PBA-VG-VG/2B2
5861011,PBA-ORTH/1C2
5861033,PBA-ORTH/1C2
5861035,PBA-ORTH/1C2
5861036,PBA-ORTH/1C2
5861038,PBA-ORTH/1C2
5861039,PBA-ORTH/1C2
5861041,PBA-ORTH/1C2
5861087,PBA-ORTH/1C5
5861109,PBA-ORTH/1C5
5861111,PBA-ORTH/1C5
5861112,PBA-ORTH/1C5
5861113,PBA-ORTH/1C5
5861114,PBA-ORTH/1C5
5861115,PBA-ORTH/1C5
5861116,PBA-ORTH/1C5
5861117,PBA-ORTH/1C5
5861163,PBA-ORTH/1C3
5861185,PBA-ORTH/1C3
5861187,PBA-ORTH/1C3
5861188,PBA-ORTH/1C3
5861189,PBA-ORTH/1C3
5861190,PBA-ORTH/1C3
5861191,PBA-ORTH/1C3
5861192,PBA-ORTH/1C3
5861193,PBA-ORTH/1C3
5861261,PBA-ORTH/1C6
5861263,PBA-ORTH/1C6
5861264,PBA-ORTH/1C6
5861265,PBA-ORTH/1C6
5861267,PBA-ORTH/1C6
5861268,PBA-ORTH/1C6
5861269,PBA-ORTH/1C6
5861337,PBA-ORTH/1C4
5861339,PBA-ORTH/1C4
5861340,PBA-ORTH/1C4
5861341,PBA-ORTH/1C4
5861342,PBA-ORTH/1C4
5861343,PBA-ORTH/1C4
5861344,PBA-ORTH/1C4
5861391,PBA-ORTH/1D1
5861413,PBA-ORTH/1D1
5861415,PBA-ORTH/1D1
5861417,PBA-ORTH/1D1
5861418,PBA-ORTH/1D1
5861420,PBA-ORTH/1D1
5861421,PBA-ORTH/1D1
5861489,PBA-ORTH/1D5
5861491,PBA-ORTH/1D5
5861492,PBA-ORTH/1D5
5861493,PBA-ORTH/1D5
5861494,PBA-ORTH/1D5
5864887,PBA-SW/3A1
5864905,PBA-SW/3A1
5864906,PBA-SW/3A1
5864907,PBA-SW/3A1
5864911,PBA-SW/3A1
5864912,PBA-SW/3A1
5864972,PBA-SW/3A1
5864984,PBA-SW/3A1
5864989,PBA-SW/3A1
5864990,PBA-SW/3A1
5864991,PBA-SW/3A1
5864992,PBA-SW/3A1
5864993,PBA-SW/3A1
5865008,PBA-SW/3A2
5865014,PBA-SW/3A2
5865031,PBA-SW/3A2
5865032,PBA-SW/3A2
5865033,PBA-SW/3A2
5865034,PBA-SW/3A2
5865035,PBA-SW/3A2
5865037,PBA-SW/3A2
5865038,PBA-SW/3A2
5865039,PBA-SW/3A2
5865058,PBA-SW/3A2
5865098,PBA-SW/3A2
5865099,PBA-SW/3A2
5865114,PBA-SW/3A2
5865115,PBA-SW/3A2
5865116,PBA-SW/3A2
5865118,PBA-SW/3A2
5865119,PBA-SW/3A2
5865120,PBA-SW/3A2
5865134,PBA-SW/3B1
5865135,PBA-SW/3B1
5865141,PBA-SW/3B1
5865159,PBA-SW/3B1
5865161,PBA-SW/3B1
5865163,PBA-SW/3B1
5865165,PBA-SW/3B1
5865166,PBA-SW/3B1
5865185,PBA-SW/3B1
5865225,PBA-SW/3B1
5865226,PBA-SW/3B1
5865238,PBA-SW/3B1
5865241,PBA-SW/3B1
5865242,PBA-SW/3B1
5865246,PBA-SW/3B1
5865247,PBA-SW/3B1
5865261,PBA-SW/3B2
5865268,PBA-SW/3B2
5865285,PBA-SW/3B2
5865286,PBA-SW/3B2
5865288,PBA-SW/3B2
5865289,PBA-SW/3B2
5865290,PBA-SW/3B2
5865291,PBA-SW/3B2
5865292,PBA-SW/3B2
5865312,PBA-SW/3B2
5865352,PBA-SW/3B2
5865353,PBA-SW/3B2
5865365,PBA-SW/3B2
5865368,PBA-SW/3B2
5865369,PBA-SW/3B2
5865373,PBA-SW/3B2
5865374,PBA-SW/3B2
5865608,PBA-VPK4/3B1
5865632,PBA-VPK4/3B1
5865633,PBA-VPK4/3B1
5865634,PBA-VPK4/3B1
5865635,PBA-VPK4/3B1
5865636,PBA-VPK4/3B1
5865637,PBA-VPK4/3B1
5865638,PBA-VPK4/3B1
5865639,PBA-VPK4/3B1
5865683,PBA-VPK4/3B2
5865684,PBA-VPK4/3B2
5865707,PBA-VPK4/3B2
5865708,PBA-VPK4/3B2
5865709,PBA-VPK4/3B2
5865710,PBA-VPK4/3B2
5865712,PBA-VPK4/3B2
5865713,PBA-VPK4/3B2
5865714,PBA-VPK4/3B2
5865834,PBA-AGR-LB/1A2
5865857,PBA-AGR-LB/1A2
5865895,PBA-AGR-LB/1A2
5865925,PBA-AGR-LB/1A2
5866084,PBA-TIN-TI/VC/1
5866085,PBA-TIN-TI/VC/1
5866087,PBA-TIN-TI/VC/1
5866088,PBA-TIN-TI/VC/1
5866089,PBA-TIN-TI/VC/1
5866090,PBA-TIN-TI/VC/1
5866091,PBA-TIN-TI/VC/1
5866092,PBA-TIN-TI/VC/1
5866094,PBA-TIN-TI/VC/1
5866096,PBA-TIN-TI/VC/1
5866189,PBA-VG-LAM/2B2
5866191,PBA-VG-LAM/2B2
5866237,PBA-VG-LAM/2B2
5866241,PBA-VG-LAM/2B2
5866242,PBA-VG-LAM/2B2
5866355,PBA-VG-LAM/2B2
5866371,PBA-VG-LAM/2B2
5866377,PBA-VG-VG/1F2
5866379,PBA-VG-VG/1F2
5866381,PBA-VG-VG/1F2
5866382,PBA-VG-VG/1F2
5866383,PBA-VG-VG/1F2
5866384,PBA-VG-VG/1F2
5866385,PBA-VG-VG/1F2
5866417,PBA-VG-VG/1F2
5866422,PBA-VG-VG/1F2
5866544,PBA-VG-VG/1F2
5866545,PBA-VG-VG/1F2
5866559,PBA-VG-VG/1F2
5866561,PBA-VG-VG/1F2
5866920,PBA-BM-AF/AO/1SEM2
5866922,PBA-BM-AF/AO/1SEM2
5866927,PBA-BM-AF/AO/1SEM2
5866930,PBA-BM-AF/AO/1SEM2
5867216,PBA-BM-AF/AO/3JAAR
5867362,PBA-VG-VG/2B2
5867365,PBA-VG-VG/2B2
5867368,PBA-VG-VG/2B2
5867373,PBA-VG-VG/2B2
5867374,PBA-VG-VG/2B2
5867375,PBA-VG-VG/2B2
5867910,PBA-SW/2laterkiezen
5868338,PBA-BM-RE/1C
5868344,PBA-BM-RE/1C
5868346,PBA-BM-RE/1C
5868348,PBA-BM-RE/1C
5868349,PBA-BM-RE/1C
5868355,PBA-BM-RE/1C
5868357,PBA-BM-RE/1C
5868358,PBA-BM-RE/1C
5868359,PBA-BM-RE/1C
5868361,PBA-BM-RE/1C
5868365,PBA-BM-RE/1C
5868689,PBA-TIN2-TI/3C
5868695,PBA-TIN2-TI/3C
5868709,PBA-TIN2-TI/3C
5868714,PBA-TIN2-TI/3C
5868715,PBA-TIN2-TI/3C
5868717,PBA-TIN2-TI/3C
5868775,PBA-SW/AO/3
5868784,PBA-SW/AO/3
5868785,PBA-SW/AO/3
5868787,PBA-SW/AO/3
5868816,PBA-SW/AO/3
5868829,PBA-SW/AO/3
5868838,PBA-SW/AO/3
5868949,PBA-BM-FV/1A
5868951,PBA-BM-FV/1A
5868955,PBA-BM-FV/1A
5868959,PBA-BM-FV/1A
5868961,PBA-BM-FV/1A
5868964,PBA-BM-FV/1A
5868966,PBA-BM-FV/1A
5868968,PBA-BM-FV/1A
5868969,PBA-BM-FV/1A
5869568,PBA-BM-KM/3A
5869576,PBA-BM-KM/3A
5869577,PBA-BM-KM/3A
5869581,PBA-BM-KM/3A
5869587,PBA-BM-KM/3A
5869588,PBA-BM-KM/3A
5869797,PBA-BM-SCM/1A
5869857,PBA-BM-SCM/1A
5869860,PBA-BM-SCM/1A
5869861,PBA-BM-SCM/1A
5869979,GRAD-SYS1-GENT/DAG/1A
5869983,GRAD-SYS1-GENT/DAG/1A
5869991,GRAD-SYS1-GENT/DAG/1A
5869995,GRAD-SYS1-GENT/DAG/1A
5869996,GRAD-SYS1-GENT/DAG/1A
5869999,GRAD-SYS1-GENT/DAG/1A
5870000,GRAD-SYS1-GENT/DAG/1A
5870001,GRAD-SYS1-GENT/DAG/1A
5870002,GRAD-SYS1-GENT/DAG/1A
5870030,GRAD-SYS1-GENT/DAG/1B
5870031,GRAD-SYS1-GENT/DAG/1B
5870034,GRAD-SYS1-GENT/DAG/1B
5870042,GRAD-SYS1-GENT/DAG/1B
5870043,GRAD-SYS1-GENT/DAG/1B
5870046,GRAD-SYS1-GENT/DAG/1B
5870047,GRAD-SYS1-GENT/DAG/1B
5870051,GRAD-SYS1-GENT/DAG/1B
5870052,GRAD-SYS1-GENT/DAG/1B
5870053,GRAD-SYS1-GENT/DAG/1B
5870077,GRAD-BIOT/2A
5870079,GRAD-BIOT/2A
5870080,GRAD-BIOT/2A
5870083,GRAD-BIOT/2A
5870084,GRAD-BIOT/2A
5870085,GRAD-BIOT/2A
5870103,GRAD-BIOT/2B
5870104,GRAD-BIOT/2B
5870105,GRAD-BIOT/2B
5870107,GRAD-BIOT/2B
5870108,GRAD-BIOT/2B
5870109,GRAD-BIOT/2B
5870114,GRAD-MCS1-CS/1D
5870118,GRAD-MCS1-CS/1D
5870121,GRAD-MCS1-CS/1D
5870124,GRAD-MCS1-CS/1D
5870130,GRAD-MCS1-CS/1D
5870131,GRAD-MCS1-CS/1D
5870134,GRAD-MCS1-CS/1D
5870156,GRAD-BKT/1B1
5870239,GRAD-PRG1-GENT/AVOND/2A
5870240,GRAD-PRG1-GENT/AVOND/2A
5870255,GRAD-PRG1-GENT/AVOND/2A
5870256,GRAD-PRG1-GENT/AVOND/2A
5870263,GRAD-PRG1-GENT/DAG/2A
5870272,GRAD-PRG1-GENT/DAG/2A
5870304,GRAD-PRG1-GENT/DAG/2B
5870313,GRAD-PRG1-GENT/DAG/2B
5870369,GRAD-PRG1-GENT/AVOND/3A
5872095,PBA-TIN-TI/2A3
5872097,PBA-TIN-TI/2A3
5872099,PBA-TIN-TI/2A3
5872100,PBA-TIN-TI/2A3
5872102,PBA-TIN-TI/2A3
5872107,PBA-TIN-TI/2A3
5872109,PBA-TIN-TI/2A3
5872110,PBA-TIN-TI/2A3
5872111,PBA-TIN-TI/2A3
5872112,PBA-TIN-TI/2A3
5872325,PBA-TIN-TI/3A2
5872340,PBA-TIN-TI/3A2
5872343,PBA-TIN-TI/3A2
5872345,PBA-TIN-TI/3A2
5872461,PBA-TIN-TI/3A2
5872512,PBA-SW/3A1
5872513,PBA-SW/3A1
5872545,PBA-VG-VG/2E2
5872547,PBA-VG-VG/2E2
5872635,PBA-VG-VG/2F1
5872638,PBA-VG-VG/2F1
5872640,PBA-VG-VG/2F1
5872642,PBA-VG-VG/2F1
5872645,PBA-VG-VG/2F1
5872646,PBA-VG-VG/2F1
5872647,PBA-VG-VG/2F1
5872648,PBA-VG-VG/2F1
5872753,PBA-VG-VG/2F1
5872754,PBA-VG-VG/2F1
5872755,PBA-VG-VG/2F1
5872775,PBA-ORTH/1A6
5872797,PBA-ORTH/1A6
5872799,PBA-ORTH/1A6
5872800,PBA-ORTH/1A6
5872801,PBA-ORTH/1A6
5872802,PBA-ORTH/1A6
5872803,PBA-ORTH/1A6
5872804,PBA-ORTH/1A6
5872851,PBA-ORTH/1B1
5872873,PBA-ORTH/1B1
5872874,PBA-ORTH/1B1
5872875,PBA-ORTH/1B1
5872877,PBA-ORTH/1B1
5872878,PBA-ORTH/1B1
5872879,PBA-ORTH/1B1
5872880,PBA-ORTH/1B1
5872881,PBA-ORTH/1B1
5872949,PBA-ORTH/1B2
5872951,PBA-ORTH/1B2
5872952,PBA-ORTH/1B2
5872953,PBA-ORTH/1B2
5872954,PBA-ORTH/1B2
5872955,PBA-ORTH/1B2
5872957,PBA-ORTH/1B2
5873003,PBA-ORTH/1B3
5873025,PBA-ORTH/1B3
5873027,PBA-ORTH/1B3
5873028,PBA-ORTH/1B3
5873029,PBA-ORTH/1B3
5873031,PBA-ORTH/1B3
5873032,PBA-ORTH/1B3
5873033,PBA-ORTH/1B3
5873079,PBA-ORTH/1B4
5873101,PBA-ORTH/1B4
5873103,PBA-ORTH/1B4
5873105,PBA-ORTH/1B4
5873106,PBA-ORTH/1B4
5873107,PBA-ORTH/1B4
5873108,PBA-ORTH/1B4
5873109,PBA-ORTH/1B4
5873177,PBA-ORTH/1B5
5873179,PBA-ORTH/1B5
5873180,PBA-ORTH/1B5
5873181,PBA-ORTH/1B5
5873182,PBA-ORTH/1B5
5873183,PBA-ORTH/1B5
5873184,PBA-ORTH/1B5
5873185,PBA-ORTH/1B5
5873253,PBA-ORTH/1B6
5873255,PBA-ORTH/1B6
5873257,PBA-ORTH/1B6
5873258,PBA-ORTH/1B6
5873259,PBA-ORTH/1B6
5873260,PBA-ORTH/1B6
5873261,PBA-ORTH/1B6
5873307,PBA-ORTH/1C1
5873331,PBA-ORTH/1C1
5873333,PBA-ORTH/1C1
5873334,PBA-ORTH/1C1
5873335,PBA-ORTH/1C1
5873336,PBA-ORTH/1C1
5873337,PBA-ORTH/1C1
5873432,PBA-BM-MK/1D
5873434,PBA-BM-MK/1D
5873435,PBA-BM-MK/1D
5873437,PBA-BM-MK/1D
5873438,PBA-BM-MK/1D
5873681,PBA-BM-ML/2SEM2
5873852,PBA-VPK4/4SEM1
5873854,PBA-VPK4/4SEM1
5873855,PBA-VPK4/4SEM1
5873879,PBA-VPK4/4SEM1
5874282,PBA-SO/LOBR/1B
5874283,PBA-SO/LOBR/1B
5874284,PBA-SO/LOBR/1B
5874285,PBA-SO/LOBR/1B
5874287,PBA-SO/LOBR/1B
5874288,PBA-SO/LOBR/1B
5874290,PBA-SO/LOBR/1B
5874291,PBA-SO/LOBR/1B
5874292,PBA-SO/LOBR/1B
5874473,PBA-SO/LOBR/1C
5874553,PBA-SO/LOBR/1C
5874555,PBA-SO/LOBR/1C
5874556,PBA-SO/LOBR/1C
5874557,PBA-SO/LOBR/1C
5874559,PBA-SO/LOBR/1C
5874560,PBA-SO/LOBR/1C
5874562,PBA-SO/LOBR/1C
5874563,PBA-SO/LOBR/1C
5874564,PBA-SO/LOBR/1C
5874565,PBA-SO/LOBR/1C
5874680,PBA-SO/LOBR/1D
5874745,PBA-SO/LOBR/1D
5874825,PBA-SO/LOBR/1D
5874826,PBA-SO/LOBR/1D
5874827,PBA-SO/LOBR/1D
5874828,PBA-SO/LOBR/1D
5874829,PBA-SO/LOBR/1D
5874831,PBA-SO/LOBR/1D
5874832,PBA-SO/LOBR/1D
5874833,PBA-SO/LOBR/1D
5874835,PBA-SO/LOBR/1D
5874837,PBA-SO/LOBR/1D
5874940,PBA-BM-RE/1C
5875500,PBA-BM-KM/1SEM2
5875553,PBA-BM-KM/1SEM2
5875830,PBA-BM-KM/2SEM2
5876137,PBA-BM-MK/1B
5876141,PBA-BM-MK/1B
5876143,PBA-BM-MK/1B
5876294,PBA-BM-MK/1B
5876526,GRAD-BKT/1A1
5876542,GRAD-WERF-WON/1A
5876545,GRAD-WERF-WON/1A
5876546,GRAD-WERF-WON/1A
5876547,GRAD-WERF-WON/1A
5876548,GRAD-WERF-WON/1A
5876553,GRAD-WERF-WON/1A
5876557,GRAD-WERF-WON/1A
5876558,GRAD-WERF-WON/1A
5876559,GRAD-WERF-WON/1A
5876560,GRAD-WERF-WON/1A
5876596,GRAD-WERF-WON/1A
5876597,GRAD-WERF-WEG/1A
5876600,GRAD-WERF-WEG/1A
5876601,GRAD-WERF-WEG/1A
5876602,GRAD-WERF-WEG/1A
5876603,GRAD-WERF-WEG/1A
5876605,GRAD-WERF-WEG/1A
5876606,GRAD-WERF-WEG/1A
5876608,GRAD-WERF-WEG/1A
5876618,GRAD-WERF-WEG/1A
5876619,GRAD-WERF-WEG/1A
5876620,GRAD-WERF-WEG/1A
5876621,GRAD-WERF-WEG/1A
5876622,GRAD-WERF-WEG/1A
5876623,GRAD-WERF-WEG/1A
5876653,INT-EDU/SEM1
5876654,INT-EDU/SEM1
5876657,INT-EDU/SEM1
5876684,INT-OT/1SEM1
5876697,GRAD-SYS1-GENT/AVOND/1A
5876700,GRAD-SYS1-GENT/AVOND/1A
5876715,GRAD-SYS1-GENT/AVOND/1A
5876717,GRAD-SYS1-GENT/AVOND/1A
5876727,GRAD-SYS1-GENT/AVOND/1A
5877609,PBA-AGR-DZ/2H
5877615,PBA-AGR-DZ/2H
5877622,PBA-AGR-DZ/2H
5877623,PBA-AGR-DZ/2H
5877625,PBA-AGR-DZ/2H
5877649,PBA-AGR-DZ/2I
5877652,PBA-AGR-DZ/2I
5877658,PBA-AGR-DZ/2I
5877668,PBA-AGR-DZ/2I
5877669,PBA-AGR-DZ/2I
5877706,PBA-AGR-DZ/2I
5877707,PBA-AGR-DZ/2I
5877708,PBA-AGR-DZ/2I
5877722,PBA-AGR-DZ/2I
5877726,PBA-AGR-DZ/2I
5877777,PBA-AGR-DZ/2I
5877790,PBA-AGR-DZ/2I
5877791,PBA-AGR-DZ/2I
5877793,PBA-AGR-DZ/2I
5877817,PBA-AGR-DZ/2J
5877836,PBA-AGR-DZ/2J
5877837,PBA-AGR-DZ/2J
5877874,PBA-AGR-DZ/2J
5877875,PBA-AGR-DZ/2J
5877876,PBA-AGR-DZ/2J
5877909,PBA-AGR-DZ/2E
5877929,PBA-AGR-DZ/2E
5877935,PBA-AGR-DZ/2E
5877942,PBA-AGR-DZ/2E
5877943,PBA-AGR-DZ/2E
5877945,PBA-AGR-DZ/2E
5877961,PBA-AGR-DZ/2E
5878153,PBA-BM-ML/VT/BM
5878159,PBA-BM-ML/VT/BM
5878161,PBA-BM-ML/VT/BM
5878171,PBA-BM-ML/VT/BM
5878173,PBA-BM-ML/VT/BM
5878176,PBA-BM-ML/VT/BM
5878178,PBA-BM-ML/VT/BM
5878196,PBA-BM-ML/VT/BM
5878197,PBA-BM-ML/VT/BM
5878349,PBA-BM-ML/VT/BM
5878585,PBA-ERGO/3BeperktIn
5878679,PBA-VPK4/4SEM2
5878687,PBA-VPK4/4SEM2
5878747,PBA-VPK4/4SEM2
5878763,PBA-VPK4/4SEM1
5878764,PBA-VPK4/4SEM1
5878795,PBA-VPK4/4SEM1
5878870,PBA-EM/1J
5878872,PBA-EM/1J
5878876,PBA-EM/1J
5878883,PBA-EM/1J
5878885,PBA-EM/1J
5878889,PBA-EM/1J
5878890,PBA-EM/1J
5878891,PBA-EM/1J
5878914,PBA-EM/1J
5878917,PBA-EM/1J
5878918,PBA-EM/1J
5878921,PBA-EM/1J
5879001,PBA-VG-VG/2E1
5879006,PBA-VG-VG/2E1
5879008,PBA-VG-VG/2E1
5879011,PBA-VG-VG/2E1
5879012,PBA-VG-VG/2E1
5879013,PBA-VG-VG/2E1
5879014,PBA-VG-VG/2E1
5879015,PBA-VG-VG/2E1
5879119,PBA-VG-VG/2E1
5879120,PBA-VG-VG/2E1
5879121,PBA-VG-VG/2E1
5879123,PBA-VG-VG/2E1
5879210,PBA-VG-VG/2E2
5879213,PBA-VG-VG/2E2
5879215,PBA-VG-VG/2E2
5879216,PBA-VG-VG/2E2
5879217,PBA-VG-VG/2E2
5879220,PBA-VG-VG/2E2
5879221,PBA-VG-VG/2E2
5879222,PBA-VG-VG/2E2
5879348,PBA-TIN-TI/1G
5879350,PBA-TIN-TI/1G
5879353,PBA-TIN-TI/1G
5879354,PBA-TIN-TI/1G
5879357,PBA-TIN-TI/1G
5879358,PBA-TIN-TI/1G
5879359,PBA-TIN-TI/1G
5879360,PBA-TIN-TI/1G
5879361,PBA-TIN-TI/1G
5879551,PBA-TIN-TI/1H
5879554,PBA-TIN-TI/1H
5879555,PBA-TIN-TI/1H
5879556,PBA-TIN-TI/1H
5879557,PBA-TIN-TI/1H
5879558,PBA-TIN-TI/1H
5879559,PBA-TIN-TI/1H
5879560,PBA-TIN-TI/1H
5879561,PBA-TIN-TI/1H
5879562,PBA-TIN-TI/1H
5879563,PBA-TIN-TI/1H
5879564,PBA-TIN-TI/1H
5879565,PBA-TIN-TI/1H
5879952,PBA-SW/2B2
5879954,PBA-SW/2B2
5879965,PBA-SW/2B2
5879966,PBA-SW/2B2
5879967,PBA-SW/2B2
5880002,PBA-SW/2B3
5880021,PBA-SW/2B3
5880023,PBA-SW/2B3
5880024,PBA-SW/2B3
5880025,PBA-SW/2B3
5880026,PBA-SW/2B3
5880079,PBA-SW/2B3
5880080,PBA-SW/2B3
5880081,PBA-SW/2B3
5880092,PBA-SW/2B3
5880093,PBA-SW/2B3
5880094,PBA-SW/2B3
5880129,PBA-SW/2B4
5880148,PBA-SW/2B4
5880150,PBA-SW/2B4
5880151,PBA-KO/1C1
5880152,PBA-KO/1C1
5880155,PBA-KO/1C1
5880198,PBA-KO/1C2
5880199,PBA-KO/1C2
5880200,PBA-KO/1C2
5880207,PBA-KO/1C2
5880209,PBA-KO/1C2
5880212,PBA-KO/1C2
5880213,PBA-KO/1C2
5880214,PBA-KO/1C2
5880215,PBA-KO/1C2
5880216,PBA-KO/1C2
5880217,PBA-KO/1C2
5880218,PBA-KO/1C2
5880219,PBA-KO/1C2
5880220,PBA-KO/1C2
5880555,PBA-BM-AF/2SEM2
5881774,PBA-BM-RE/2A
5884099,GRAD-ACA8-LOKEREN/DAG/1A
5884102,GRAD-ACA8-LOKEREN/DAG/1A
5884214,GRAD-MCS1-MS/1B
5884222,GRAD-MCS1-MS/1B
5884224,GRAD-MCS1-MS/1B
5884234,GRAD-MCS1-MS/1B
5884235,GRAD-MCS1-MS/1B
5884251,GRAD-MCS1-MS/1A
5884255,GRAD-MCS1-MS/1A
5884257,GRAD-MCS1-MS/1A
5884259,GRAD-MCS1-MS/1A
5884261,GRAD-MCS1-MS/1A
5884262,GRAD-MCS1-MS/1A
5884271,GRAD-MCS1-MS/1A
5884322,GRAD-PRG1-GENT/AVOND/1A
5884325,GRAD-PRG1-GENT/AVOND/1A
