RoomKey,Building,RoomFloor,Code,RoomName,Category,Capacity,Area
2316,2,3.0,01.02.130.013,GSCHB.3.013,laptoplokaal,38.0,70.04
2317,2,3.0,01.02.130.036,GSCHB.3.036,laptoplokaal,69.0,129.94
2318,2,4.0,01.02.140.032,GSCHB.4.032,laptoplokaal,66.0,167.16
2319,2,2.0,01.02.120.011,GSCHB.2.011,laptoplokaal,28.0,56.23
2322,2,3.0,01.02.130.029,GSCHB.3.029,laptoplokaal,59.0,90.21
2323,2,1.0,01.02.110.011,GSCHB.1.011,laptoplokaal,42.0,75.06
2326,2,3.0,01.02.130.026,GSCHB.3.026,laptoplokaal,25.0,52.11
2959,2,4.0,01.02.140.007,GSCHB.4.007,practicum,26.0,52.84
2968,2,4.0,01.02.140.037,GSCHB.4.037,practicum,72.0,146.63
5019,2,,23.02.110.001,GBCLO.1.001,auditorium,60.0,133.43
5020,2,,23.02.100.001,GBCLO.0.001,auditorium,86.0,110.34
