Metric,Groepswerk,GewoonVak,VerschilGroepswerkMinGewoon
Gewogen aanwezigheidsgraad,0.2310788290412854,0.20246934125297628,0.02860948778830913
Gemiddelde aanwezigheidsgraad,0.2502694837271457,0.1944688655236752,0.05580061820347049
Mediaan aanwezigheidsgraad,0.2625459317585302,0.1893939393939394,0.0731519923645908
Standaardafwijking,0.1501734054325922,0.1376042532227227,0.012569152209869483
Variantie,0.02255205169922171,0.01893493050498319,0.0036171211942385186
Eerste kwartiel,0.13117699406230837,0.08695652173913043,0.04422047232317794
Derde kwartiel,0.3744517543859649,0.2857142857142857,0.0887374686716792
Interkwartielafstand,0.24327476032365652,0.19875776397515527,0.04451699634850126
Aantal sessies,152.0,1649.0,-1497.0
