LessonType,SessionCount,ValidAttendanceRates,ExpectedStudentsSum,PresentStudentsSum,WeightedAttendanceRate,MeanAttendanceRate,MedianAttendanceRate,StandardDeviation,Variance,Minimum,Percentile10,Quartile1,Quartile3,Percentile90,Maximum,InterquartileRange,CoefficientOfVariation,MeanExpectedStudents,MedianExpectedStudents,MeanPresentStudents,MedianPresentStudents
Gewoon vak,1649.0,1649.0,156236.0,31633.0,0.20246934125297628,0.1944688655236752,0.1893939393939394,0.1376042532227227,0.01893493050498319,0.0,0.0,0.08695652173913043,0.2857142857142857,0.35804137470804137,0.7692307692307693,0.19875776397515527,0.7075901474108737,94.74590661006671,78.0,19.183141297756215,14.0
Groepswerk,152.0,152.0,31803.0,7349.0,0.2310788290412854,0.2502694837271457,0.2625459317585302,0.1501734054325922,0.02255205169922171,0.0,0.015513513513513521,0.13117699406230837,0.3744517543859649,0.4298571428571429,0.5,0.24327476032365652,0.6000468103267338,209.23026315789474,100.0,48.348684210526315,35.0
