year,faculties,title,code,credits,evaluation_methods,second_chance
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",Vermogensplanning,194947,3 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '80,00'}, {'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '20,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",Employer branding,194948,3 studiepunten,"[{'moment': 'Buiten examenrooster', 'format': 'Paper', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3', 'IC Chemistry, Biotechnology and Environmental Technology']",Cross Cultural Communication,194949,3 studiepunten,"[{'moment': 'Buiten examenrooster', 'format': 'Portfolio', 'percentage': '50,00'}, {'moment': 'Buiten examenrooster', 'format': 'Presentatie', 'percentage': '50,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",Website Management (English language),194950,3 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Presentatie', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",Ander opleidingsonderdeel na goedkeuring,194951,3 studiepunten,,wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",Businessproject: integrale managementcases,194952,4 studiepunten,"[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",Internationaal Paspoort,194953,3 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",Stage en persoonlijke ontwikkeling,194954,13 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Verslag', 'percentage': '30,00'}, {'moment': 'Buiten examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '70,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",Bachelorproef,194955,7 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Paper', 'percentage': '70,00'}, {'moment': 'Binnen examenrooster', 'format': 'Presentatie', 'percentage': '30,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",Goederen- en transportverzekering,194956,4 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '70,00'}, {'moment': 'Buiten examenrooster', 'format': 'Paper', 'percentage': '30,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']","Douane, btw en accijnzen - verdieping",194957,4 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '80,00'}, {'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '20,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",3SCM - Keuzeopleidingsonderdeel,194958,3 studiepunten,,wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",Ander opleidingsonderdeel na goedkeuring,194959,3 studiepunten,,wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",Bachelorproef,194960,8 studiepunten,"[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",Logistics lab,194961,3 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",Stage en persoonlijke ontwikkeling,194962,12 studiepunten,"[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",Internationaal paspoort,194963,3 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 2']",Database Marketing,194964,3 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 2']",2MK - Keuzeopleidingsonderdeel,194965,3 studiepunten,,wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 2', 'Bachelor in organisatie & management']",Dienstenmarketing,194966,3 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",3MK - Website management (NL of EN),194967,3 studiepunten,,wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",Website management,194968,3 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Presentatie', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",Website Management (English language),194969,3 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Presentatie', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",Sales Intelligence,194970,3 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Mondeling examen', 'percentage': '80,00'}, {'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '20,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",3MK - Keuzeopleidingsonderdeel,194971,3 studiepunten,,wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",Ander opleidingsonderdeel na goedkeuring,194972,3 studiepunten,,wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",Internationaal Paspoort,194973,3 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",Bachelorproef,194974,7 studiepunten,"[{'moment': 'Binnen en buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}]",wel mogelijk.
