site_id,family,model,os,manufacture,ap_id,ssid,wlan_id,username,proto,band,vlan_id,key_mgmt,map_id,annotation,timestamp,assoc_time,rssi,snr,idle_time,tx_rate,rx_rate,tx_pkts,rx_pkts,tx_bytes,rx_bytes,tx_retries,rx_retries,tx_bps,rx_bps,x,y,x_m,y_m,num_locating_aps,uptime,last_seen,dual_band,is_guest,channel,DateKey,TimeKey
c7206857-586f-460a-8ef9-a0f01963739b,,,Windows 10/11,Intel Corporate,00000000-0000-0000-1000-3c94fd082122,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_2faff5cff3db3cc6f15f7b8fe526b349491225da0751e6ab45bdf0fd5cf1ac66,ax,24,231,WPA3-EAP-SHA256/CCMP,d1c470f8-8ff8-4e3f-a599-1941246d140d,unknown,2025-11-14 11:15:00,2025-11-14T10:05:25,-45,38,0.0,206.4,243.7,3008,2768,1652749,1073695,987,181,374936,28214,2276.1392183538096,3397.860571583708,68.18704,101.79081,2,36,1763114761,True,False,11,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,,,Windows 8,Intel Corporate,00000000-0000-0000-1000-3c94fd03dbad,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_8390ae4bf38a94195511ce79e3985f2652399a3907c9dbd6fc24341e81014196,ax,5,232,WPA3-EAP-SHA256/CCMP,e3ac87b6-42bd-4ccb-86e3-acdf737836cb,unknown,2025-11-14 11:15:00,2025-11-14T08:28:08,-47,41,0.0,541.6,573.5,61461,54409,66488105,25442598,3521,1982,703,0,2379.8876304349087,3056.656863998992,70.17443,90.12995,1,5866,1763114754,True,False,132,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,,,Windows 10/11,CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.,00000000-0000-0000-1000-3c94fd08223a,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_602740207945d1da78dc04581c441a71953fd60d5819a27d09769c62391d961d,ax,24,231,WPA3-EAP-SHA256/CCMP,d1c470f8-8ff8-4e3f-a599-1941246d140d,unknown,2025-11-14 11:15:00,2025-11-14T09:33:49,-42,40,0.0,195.0,1.0,49825,47057,72099072,10111738,20209,9164,358,517,1750.763620463504,468.5373101703366,52.448193,14.036124,1,1931,1763114760,False,False,11,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,iPhone,,18.1.1,Apple,00000000-0000-0000-1000-3c94fd081e98,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_1aac21704ca63a2bae1da4dffa9dc87321354a344d74a2afb31795507859effe,ax,24,231,WPA3-EAP-SHA256/CCMP,623eeeab-ceb4-4c42-b795-6fee7e86d019,unknown,2025-11-14 11:15:00,2025-11-14T10:04:48,-50,34,1.0,114.7,24.0,542,477,81164,65460,197,88,16016,1514,1539.916143821217,2087.773806235498,47.32277,64.158844,1,69,1763114757,True,False,6,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,,,Android 10,Unknown,00000000-0000-0000-1000-3c94fd081ea2,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_c459082d68c2c0cb52c61b934667901d8e576fe3a204dfc73e0b6d1cb6491b15,n,24,235,WPA3-EAP-SHA256/CCMP,663a0651-8906-43c8-9998-292cef2a0d2b,unknown,2025-11-14 11:15:00,2025-11-14T09:58:12,-64,19,6.0,43.3,1.0,925,1742,434137,381107,1050,1114,0,0,2305.7622805760766,2436.3649391973568,67.61625,71.44616,1,415,1763114707,False,False,6,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,,,Windows 10/11,Intel Corporate,00000000-0000-0000-1000-3c94fd081731,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_e02782eaa8bfa9588dd3736aa207c8abd376c4f570c5f97f5f525a1c49c27085,ax,5,231,WPA3-EAP-SHA256/CCMP,663a0651-8906-43c8-9998-292cef2a0d2b,unknown,2025-11-14 11:15:00,2025-11-14T10:03:06,-57,37,1.0,412.9,6.0,2090,1848,1784931,717767,312,65,300,799,1713.7936953812757,2837.982803339568,50.25683,83.223564,1,159,1763114745,True,False,132,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,,,Windows 10/11,Intel Corporate,00000000-0000-0000-1000-3c94fd081f65,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_e52055dddc634e4dc33e29b582bbdc458d798125d83bd96f562d47927f8b73d6,ax,5,231,WPA3-EAP-SHA256/CCMP,663a0651-8906-43c8-9998-292cef2a0d2b,unknown,2025-11-14 11:15:00,2025-11-14T09:28:39,-52,42,0.0,573.5,34.4,119197,69871,153130074,29525605,2413,37,49419,624,2563.206289264146,318.8307467429284,75.16577,9.34968,1,2195,1763114714,True,False,124,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,iPhone,,,Apple,00000000-0000-0000-1000-3c94fd0816a5,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_67c5243f9452195480b7757ab0aa16ddbcb58a4edc9bac6087e7a7746d9b85a5,ax,5,231,WPA3-EAP-SHA256/CCMP,e3ac87b6-42bd-4ccb-86e3-acdf737836cb,unknown,2025-11-14 11:15:00,2025-11-14T09:32:54,-55,38,1.0,390.0,24.0,70406,11205,90943514,3442473,15653,1714,55493,630,2715.2847729850255,1511.9634558019238,80.0641,44.58243,1,1989,1763114763,True,False,52,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,Samsung Galaxy,S24 Ultra,Android 16,Samsung Electronics Co.,00000000-0000-0000-1000-3c94fd03dbad,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_1a0987cbeb3f9ac75a48e1b594ec92f51b17990f89b7b1360717c7445d661053,ax,5,231,WPA3-EAP-SHA256/CCMP,e3ac87b6-42bd-4ccb-86e3-acdf737836cb,unknown,2025-11-14 11:15:00,2025-11-14T09:30:05,-70,18,3.0,97.5,6.0,19653,8385,31739266,2131260,4755,1008,0,0,1872.7657278724685,2720.464440818399,55.221207,80.21683,1,2149,1763114754,True,False,132,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,,,Windows 10/11,Intel Corporate,00000000-0000-0000-1000-3c94fd001d47,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_ae09bc7d64dc1042e270bcb5ad21cde92d4758f7eac976c2047c6eef9ec70722,ax,5,231,WPA3-EAP-SHA256/CCMP,d1c470f8-8ff8-4e3f-a599-1941246d140d,unknown,2025-11-14 11:15:00,2025-11-14T08:59:45,-48,39,0.0,458.8,573.5,333978,142695,420060081,32544709,12525,5157,170983,87620,2144.474921438368,936.2081210494586,64.24273,28.04629,1,3966,1763114751,True,False,108,20251114,111500
