year,faculties,title,code,credits,evaluation_methods,second_chance
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 2']",Linux for Data Scientists,193743,4 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Vaardigheidstest', 'percentage': '70,00'}, {'moment': 'Binnen en buiten examenrooster', 'format': 'Portfolio', 'percentage': '30,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Portfolio', 'percentage': '30,00'}, {'moment': 'Binnen examenrooster', 'format': 'Vaardigheidstest', 'percentage': '70,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 2', 'Micro credential AI & Data Engineer']",Big Data Processing,193744,3 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Modern Data Architectures,193745,3 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3', 'Micro credential AI & Data Engineer']",Deep Learning,193746,4 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '35,00'}, {'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '65,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '35,00'}, {'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '65,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3', 'Micro credential AI & Data Engineer']",Machine Learning Operations,193747,3 studiepunten,"[[{'moment': 'Binnen en buiten examenrooster', 'format': 'Portfolio', 'percentage': '100,00'}], [{'moment': 'Binnen en buiten examenrooster', 'format': 'Portfolio', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Trends in Artificial Intelligence,193748,3 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Business Processes Advanced & Business Intelligence,193749,6 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Mondeling examen', 'percentage': '60,00'}, {'moment': 'Binnen examenrooster', 'format': 'Portfolio', 'percentage': '40,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Mondeling examen', 'percentage': '60,00'}, {'moment': 'Binnen examenrooster', 'format': 'Portfolio', 'percentage': '40,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 2']",Mathematics for Machine Learning,193750,4 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '70,00'}, {'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '30,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '70,00'}, {'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '30,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 2']",Linux for Data Scientists,193751,4 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Vaardigheidstest', 'percentage': '70,00'}, {'moment': 'Binnen en buiten examenrooster', 'format': 'Portfolio', 'percentage': '30,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Portfolio', 'percentage': '30,00'}, {'moment': 'Binnen examenrooster', 'format': 'Vaardigheidstest', 'percentage': '70,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 2', 'Micro credential AI & Data Engineer']",Big Data Processing,193752,3 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Modern Data Architectures,193753,3 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3', 'Micro credential AI & Data Engineer']",Deep Learning,193754,4 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '35,00'}, {'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '65,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '35,00'}, {'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '65,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3', 'Micro credential AI & Data Engineer']",Machine Learning Operations,193755,3 studiepunten,"[[{'moment': 'Binnen en buiten examenrooster', 'format': 'Portfolio', 'percentage': '100,00'}], [{'moment': 'Binnen en buiten examenrooster', 'format': 'Portfolio', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Trends in Artificial Intelligence,193756,3 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Business Processes Advanced & Business Intelligence,193757,6 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Mondeling examen', 'percentage': '60,00'}, {'moment': 'Binnen examenrooster', 'format': 'Paper', 'percentage': '40,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Mondeling examen', 'percentage': '60,00'}, {'moment': 'Binnen examenrooster', 'format': 'Paper', 'percentage': '40,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 2']",Mathematics for Machine Learning,193758,4 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '70,00'}, {'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '30,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '70,00'}, {'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '30,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 2']",Linux for Data Scientists,193759,4 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Vaardigheidstest', 'percentage': '70,00'}, {'moment': 'Binnen en buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '30,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Portfolio', 'percentage': '30,00'}, {'moment': 'Binnen examenrooster', 'format': 'Vaardigheidstest', 'percentage': '70,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 2', 'Micro credential AI & Data Engineer']",Big Data Processing,193760,3 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Modern Data Architectures,193761,3 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3', 'Micro credential AI & Data Engineer']",Deep Learning,193762,4 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '35,00'}, {'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '65,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '35,00'}, {'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '65,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3', 'Micro credential AI & Data Engineer']",Machine Learning Operations,193763,3 studiepunten,"[[{'moment': 'Binnen en buiten examenrooster', 'format': 'Portfolio', 'percentage': '100,00'}], [{'moment': 'Binnen en buiten examenrooster', 'format': 'Portfolio', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Trends in Artificial Intelligence,193764,3 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Mondeling examen', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Mondeling examen', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Business Processes Advanced & Business Intelligence,193765,6 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Mondeling examen', 'percentage': '60,00'}, {'moment': 'Binnen examenrooster', 'format': 'Paper', 'percentage': '40,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Mondeling examen', 'percentage': '60,00'}, {'moment': 'Binnen examenrooster', 'format': 'Paper', 'percentage': '40,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de agro- en biotechnologie', 'Bachelor in de elektromechanica', 'Bachelor in de houttechnologie', 'Bachelor in de logopedie en audiologie', 'Bachelor in de toegepaste informatica, trajectschijf 3', 'Bachelor in de verpleegkunde', 'Bachelor in de verpleegkunde (Duaal)', 'Bachelor in de voedings- en dieetkunde', 'Bachelor in het bedrijfsmanagement', 'Bachelor in organisatie & management']",A.I. voor de bachelorstudent,193766,3 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '50,00'}, {'moment': 'Buiten examenrooster', 'format': 'Paper', 'percentage': '50,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Paper', 'percentage': '50,00'}, {'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '50,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 2', 'Micro credential AI & Data Engineer']",Keuze Micro degree,193767,3 studiepunten,,wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 2', 'Micro credential AI & Data Engineer']",Keuze Micro Degree AO,193768,3 studiepunten,,wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 2', 'Micro credential AI & Data Engineer']",Keuze Micro Degree VC,193769,3 studiepunten,,wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Keuze: Business analysis NL-EN,193770,3 studiepunten,,wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3', 'U!REKA Online Courses']",Business analysis (English taught),193771,3 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Mondeling examen', 'percentage': '60,00'}, {'moment': 'Buiten examenrooster', 'format': 'Ontwerp', 'percentage': '20,00'}, {'moment': 'Buiten examenrooster', 'format': 'Paper', 'percentage': '20,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Mondeling examen', 'percentage': '60,00'}, {'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '20,00'}, {'moment': 'Binnen examenrooster', 'format': 'Paper', 'percentage': '20,00'}]]",wel mogelijk.
