year,faculties,title,code,credits,evaluation_methods,second_chance
2025-26,"['Graduaat in de elektromechanische systemen, trajectschijf 4']",Stage (avond),194279,24 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '50,00'}, {'moment': 'Buiten examenrooster', 'format': 'Logboek', 'percentage': '25,00'}, {'moment': 'Buiten examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '25,00'}]]",niet mogelijk.
2025-26,"['Graduaat in de elektromechanische systemen, trajectschijf 4']",Industrieel project (avond),194280,6 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Presentatie', 'percentage': '20,00'}, {'moment': 'Buiten examenrooster', 'format': 'Verslag', 'percentage': '20,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Presentatie', 'percentage': '20,00'}, {'moment': 'Binnen examenrooster', 'format': 'Verslag', 'percentage': '20,00'}], [{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '60,00'}]]",wel mogelijk.
2025-26,"['Graduaat in de elektromechanische systemen, trajectschijf 1']",Elektrische installaties 1,194281,3 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '20,00'}, {'moment': 'Buiten examenrooster', 'format': 'Vaardigheidstest', 'percentage': '80,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '80,00'}, {'moment': 'Buiten examenrooster', 'format': 'Andere', 'percentage': '20,00'}]]",wel mogelijk.
2025-26,"['Graduaat in de elektromechanische systemen, trajectschijf 1']",Elektrische installaties 1 (avond),194282,3 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '20,00'}, {'moment': 'Buiten examenrooster', 'format': 'Vaardigheidstest', 'percentage': '80,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '80,00'}, {'moment': 'Buiten examenrooster', 'format': 'Andere', 'percentage': '20,00'}]]",wel mogelijk.
2025-26,"['Graduaat in de elektromechanische systemen, trajectschijf 1']",Elektrische installaties 2,194283,3 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Vaardigheidstest', 'percentage': '100,00'}]]",niet mogelijk.
2025-26,"['Graduaat in de elektromechanische systemen, trajectschijf 2']",Elektrische installaties 2 (avond),194284,3 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Vaardigheidstest', 'percentage': '100,00'}]]",niet mogelijk.
2025-26,"['Graduaat in de elektromechanische systemen, trajectschijf 1']",CAD elektriciteit,194285,3 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Andere', 'percentage': '20,00'}, {'moment': 'Buiten examenrooster', 'format': 'Vaardigheidstest', 'percentage': '80,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '80,00'}, {'moment': 'Buiten examenrooster', 'format': 'Andere', 'percentage': '20,00'}]]",wel mogelijk.
2025-26,"['Graduaat in de elektromechanische systemen, trajectschijf 2']",CAD elektriciteit (avond),194286,3 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Andere', 'percentage': '20,00'}, {'moment': 'Buiten examenrooster', 'format': 'Vaardigheidstest', 'percentage': '80,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '80,00'}, {'moment': 'Buiten examenrooster', 'format': 'Andere', 'percentage': '20,00'}]]",wel mogelijk.
2025-26,"['Graduaat in de elektromechanische systemen, trajectschijf 3']",Werkplekleren,194287,6 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '75,00'}, {'moment': 'Buiten examenrooster', 'format': 'Portfolio', 'percentage': '25,00'}]]",niet mogelijk.
2025-26,"['Graduaat in de elektromechanische systemen, trajectschijf 2']",Werkplekleren,194288,6 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '75,00'}, {'moment': 'Buiten examenrooster', 'format': 'Portfolio', 'percentage': '25,00'}]]",niet mogelijk.
2025-26,"['Graduaat in de elektromechanische systemen, trajectschijf 3']",Werkplekleren,194289,6 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '75,00'}, {'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '25,00'}]]",niet mogelijk.
2025-26,"['Graduaat in de elektromechanische systemen, trajectschijf 2']",Werkplekleren,194290,6 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '75,00'}, {'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '25,00'}]]",niet mogelijk.
2025-26,"['Graduaat in de HVAC-systemen, trajectschijf 1']",Elektriciteit 1,194291,4 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Graduaat in de HVAC-systemen, trajectschijf 1']",Elektriciteit 2,194292,5 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Schriftelijk examen', 'percentage': '60,00'}, {'moment': 'Buiten examenrooster', 'format': 'Vaardigheidstest', 'percentage': '40,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Graduaat in de HVAC-systemen, trajectschijf 1']",Mechanica,194293,6 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '40,00'}, {'moment': 'Buiten examenrooster', 'format': 'Schriftelijk examen', 'percentage': '60,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '40,00'}, {'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '60,00'}]]",wel mogelijk.
2025-26,"['Graduaat in de HVAC-systemen, trajectschijf 1']",Elektronica,194294,3 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Paper', 'percentage': '30,00'}, {'moment': 'Buiten examenrooster', 'format': 'Schriftelijk examen', 'percentage': '20,00'}, {'moment': 'Buiten examenrooster', 'format': 'Verslag', 'percentage': '50,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Paper', 'percentage': '30,00'}, {'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '20,00'}, {'moment': 'Binnen examenrooster', 'format': 'Verslag', 'percentage': '50,00'}]]",wel mogelijk.
2025-26,"['Graduaat in de HVAC-systemen, trajectschijf 1']",Veiligheid,194295,3 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '33,00'}, {'moment': 'Buiten examenrooster', 'format': 'Schriftelijk examen', 'percentage': '67,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '33,00'}, {'moment': 'Buiten examenrooster', 'format': 'Schriftelijk examen', 'percentage': '67,00'}]]",wel mogelijk.
