RoomKey,Building,RoomFloor,Code,RoomName,Category,Capacity,Area
1167,2,2,01.02.120.021,GSCHB.2.021,sanitair,NULL,16.12
1178,2,0,01.02.100.050,GSCHB.0.050,sanitair,NULL,2.07
1185,2,0,01.02.100.066,GSCHB.0.066,sanitair,NULL,2.71
1186,2,0,01.02.100.049,GSCHB.0.049,sanitair,NULL,2.07
1187,2,0,01.02.100.031,GSCHB.0.031,sanitair,NULL,18.98
1196,2,0,01.02.100.072,GSCHB.0.072,sanitair,NULL,1.2
1203,2,0,01.02.100.073,GSCHB.0.073,sanitair,NULL,2.83
1206,2,0,01.02.100.051,GSCHB.0.051,sanitair,NULL,1.8
1207,2,3,01.02.130.022,GSCHB.3.022,sanitair,NULL,16.12
1210,2,0,01.02.100.074,GSCHB.0.074,sanitair,NULL,1.24
1214,2,1,01.02.110.020,GSCHB.1.020,sanitair,NULL,16.12
1224,2,0,01.02.100.039,GSCHB.0.039,sanitair,NULL,128.22
1225,2,4,01.02.140.020,GSCHB.4.020,sanitair,NULL,17.77
1228,2,0,01.02.100.038,GSCHB.0.038,sanitair,NULL,4.09
1251,2,0,01.02.100.065,GSCHB.0.065,sanitair,NULL,10.21
1260,2,0,01.02.100.029,GSCHB.0.029,sanitair,NULL,17.22
1267,2,0,01.02.100.067,GSCHB.0.067,sanitair,NULL,3.31
1272,2,0,01.02.100.070,GSCHB.0.070,sanitair,NULL,3.74
1275,2,0,01.02.100.002,GSCHB.0.002,evenementenruimte,NULL,488.78
1277,2,0,01.02.100.077,GSCHB.0.077,evenementenruimte,NULL,0
1279,2,0,01.02.100.036,GSCHB.0.036,evenementenruimte,NULL,549.66
1310,2,1,01.02.110.010,GSCHB.1.010,dienstkeuken,NULL,12.18
1317,2,3,01.02.130.017,GSCHB.3.017,dienstkeuken,NULL,23.46
1322,2,0,01.02.100.032,GSCHB.0.032,dienstkeuken,NULL,25.04
1323,2,0,01.02.100.062,GSCHB.0.062,dienstkeuken,NULL,18.41
1326,2,0,01.02.100.060,GSCHB.0.060,berging,NULL,15.74
1335,2,3,01.02.130.003,GSCHB.3.003,berging,NULL,8.27
1339,2,0,01.02.100.008,GSCHB.0.008,berging,NULL,16.25
1345,2,0,01.02.100.023,GSCHB.0.023,berging,NULL,6.99
1347,2,0,01.02.100.013,GSCHB.0.013,berging,NULL,10.74
1352,2,4,01.02.140.028,GSCHB.4.028,berging,NULL,16.4
1366,2,1,01.02.110.003,GSCHB.1.003,berging,NULL,8.48
1369,2,1,01.02.110.035,GSCHB.1.035,berging,NULL,23.51
1375,2,0,01.02.100.003,GSCHB.0.003,berging,NULL,30
1381,2,0,01.02.100.005,GSCHB.0.005,berging,NULL,26.86
1384,2,0,01.02.100.025,GSCHB.0.025,berging,NULL,9.31
1397,2,0,01.02.100.009,GSCHB.0.009,berging,NULL,14.34
1404,2,0,01.02.100.046,GSCHB.0.046,berging,NULL,17.66
1406,2,0,01.02.100.028,GSCHB.0.028,berging,NULL,1.5
1413,2,4,01.02.140.019,GSCHB.4.019,berging,NULL,1.46
1420,2,0,01.02.100.044,GSCHB.0.044,berging,NULL,17.11
1440,2,2,01.02.120.020,GSCHB.2.020,berging,NULL,1.31
1441,2,0,01.02.100.006,GSCHB.0.006,berging,NULL,15.83
1445,2,2,01.02.120.003,GSCHB.2.003,berging,NULL,8.38
1447,2,3,01.02.130.021,GSCHB.3.021,berging,NULL,1.48
1448,2,4,01.02.140.040,GSCHB.4.040,berging,NULL,24.34
1451,2,0,01.02.100.007,GSCHB.0.007,berging,NULL,31.48
1539,2,3,01.02.130.006,GSCHB.3.006,leslokaal,34,52.58
1543,2,0,01.02.100.078,GSCHB.0.078,atelier,95,247.24
1549,2,3,01.02.130.015,GSCHB.3.015,leslokaal,44,71.06
1550,2,4,01.02.140.016,GSCHB.4.016,leslokaal,54,70.15
1551,2,2,01.02.120.007,GSCHB.2.007,leslokaal,35,55.93
1552,2,4,01.02.140.041,GSCHB.4.041,leslokaal,54,55.83
1553,2,3,01.02.130.039,GSCHB.3.039,leslokaal,60,73.8
1555,2,4,01.02.140.011,GSCHB.4.011,leslokaal,35,52.91
1556,2,4,01.02.140.017,GSCHB.4.017,leslokaal,59,70.14
1563,2,1,01.02.110.026,GSCHB.1.026,leslokaal,26,58.05
1565,2,4,01.02.140.008,GSCHB.4.008,leslokaal,35,52.53
1570,2,3,01.02.130.014,GSCHB.3.014,leslokaal,43,70.67
1571,2,4,01.02.140.006,GSCHB.4.006,leslokaal,35,52.95
1572,2,3,01.02.130.008,GSCHB.3.008,leslokaal,34,53.38
1573,2,4,01.02.140.039,GSCHB.4.039,leslokaal,48,105.12
1574,2,4,01.02.140.042,GSCHB.4.042,leslokaal,56,111.62
1579,2,4,01.02.140.005,GSCHB.4.005,leslokaal,54,70.73
1580,2,2,01.02.120.005,GSCHB.2.005,leslokaal,76,94.26
1591,2,4,01.02.140.015,GSCHB.4.015,leslokaal,54,70.33
1594,2,2,01.02.120.006,GSCHB.2.006,leslokaal,35,55.91
1595,2,2,01.02.120.013,GSCHB.2.013,leslokaal,54,73.68
1600,2,3,01.02.130.007,GSCHB.3.007,leslokaal,34,52.63
1601,2,3,01.02.130.011,GSCHB.3.011,leslokaal,34,52.55
1603,2,3,01.02.130.038,GSCHB.3.038,leslokaal,38,76.69
1604,2,1,01.02.110.012,GSCHB.1.012,leslokaal,45,73.75
1607,2,4,01.02.140.014,GSCHB.4.014,leslokaal,50,70.08
1611,2,2,01.02.120.014,GSCHB.2.014,leslokaal,53,73.68
1614,2,2,01.02.120.012,GSCHB.2.012,leslokaal,52,73.68
1616,2,2,01.02.120.008,GSCHB.2.008,leslokaal,41,55.93
1622,2,1,01.02.110.029,GSCHB.1.029,leslokaal,36,73.7
1625,2,1,01.02.110.008,GSCHB.1.008,leslokaal,20,55.94
1650,2,1,01.02.110.030,GSCHB.1.030,burelen,NULL,52.8
1705,2,0,01.02.100.026,GSCHB.0.026,burelen,NULL,36.55
1736,2,0,01.02.100.024,GSCHB.0.024,burelen,2,37.15
1739,2,3,01.02.130.031,GSCHB.3.031,burelen,NULL,38
1777,2,5,01.02.150.002,GSCHB.5.002,liftmachine,NULL,13.6
1803,2,0,01.02.100.056,GSCHB.0.056,ICT,NULL,3.29
1806,2,0,01.02.100.055,GSCHB.0.055,ICT,NULL,42
1811,2,2,01.02.120.017,GSCHB.2.017,HVAC,NULL,16.6
