year,faculties,title,code,credits,evaluation_methods,second_chance,is_group_project,classification_reason
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 2']",Business Software Project,193723,8 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}, {'moment': 'Binnen en buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}, {'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}]]",wel mogelijk.,True,Project in titel
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Data Engineering Project II,193725,8 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Andere', 'percentage': '30,00'}, {'moment': 'Buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Andere', 'percentage': '30,00'}, {'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}]]",wel mogelijk.,True,Project in titel
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Project e-Business,193728,8 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}, {'moment': 'Buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}, {'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}]]",wel mogelijk.,True,Project in titel
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Real-life Integrated Software Engineering,193772,18 studiepunten,"[[{'moment': 'Binnen en buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}]]",wel mogelijk.,True,Observatie van functioneren van de student
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Real-life Integrated Software Engineering (English taught),193774,18 studiepunten,"[[{'moment': 'Binnen en buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}]]",wel mogelijk.,True,Observatie van functioneren van de student
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Real-life Integrated Software Engineering,193779,18 studiepunten,"[[{'moment': 'Binnen en buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}]]",wel mogelijk.,True,Observatie van functioneren van de student
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Real-life Integrated Software Engineering,193783,18 studiepunten,"[[{'moment': 'Binnen en buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}]]",wel mogelijk.,True,Observatie van functioneren van de student
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Mobile Application Development: Android,193784,4 studiepunten,"[[{'moment': 'Binnen en buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}]]",wel mogelijk.,True,Observatie van functioneren van de student
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Enterprise Web Development: C#,193785,6 studiepunten,"[[{'moment': 'Binnen en buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}]]",wel mogelijk.,True,Observatie van functioneren van de student
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",DevOps Project: Development,193786,8 studiepunten,"[[{'moment': 'Binnen en buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}]]",wel mogelijk.,True,Project in titel
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Data Engineering Project II,193788,8 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Andere', 'percentage': '30,00'}, {'moment': 'Buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Andere', 'percentage': '30,00'}, {'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}]]",wel mogelijk.,True,Project in titel
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Real-life Integrated Software Engineering,193789,12 studiepunten,"[[{'moment': 'Binnen en buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}]]",wel mogelijk.,True,Observatie van functioneren van de student
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Real-life Integrated Software Engineering,193790,12 studiepunten,"[[{'moment': 'Binnen en buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}]]",wel mogelijk.,True,Observatie van functioneren van de student
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Real-life Integrated Software Engineering,193791,12 studiepunten,"[[{'moment': 'Binnen en buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}]]",wel mogelijk.,True,Observatie van functioneren van de student
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 1']",Software Development Project I,193806,4 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Andere', 'percentage': '30,00'}, {'moment': 'Buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Andere', 'percentage': '30,00'}, {'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}]]",wel mogelijk.,True,Project in titel
