LectureID,DateKey,SubgroupKey,UserCount,TotalStudents,RF_PredictedAttendanceRate,PredictedUserCount
387856,2025-12-01,5884225,13,36,0.33415335100910293,12.029520636327705
365223,2025-12-01,5893263,12,17,0.6754411606956874,11.482499731826685
388859,2025-12-01,5821002,3,5,0.6668111133149683,3.3340555665748415
363812,2025-12-01,5722844,8,33,0.3905404893010538,12.887836146934776
416614,2025-12-01,6043359,2,21,0.20835554509915807,4.37546644708232
388854,2025-12-01,5816336,10,14,0.711708224971979,9.963915149607708
387972,2025-12-01,5884217,3,32,0.22802241588432384,7.296717308298363
374168,2025-12-01,5818385,12,14,0.6788861087864902,9.504405523010863
365223,2025-12-01,6140692,2,3,0.6638243591325409,1.9914730773976226
418265,2025-12-01,6043364,9,9,0.8884120436415054,7.995708392773548
387868,2025-12-01,5884262,13,34,0.32743827032527134,11.132901191059226
388859,2025-12-01,5801212,14,17,0.7522551552256996,12.788337638836893
365223,2025-12-01,5899998,13,17,0.7070841881018837,12.020431197732023
370815,2025-12-01,5826047,8,10,0.5834781645697354,5.834781645697355
381648,2025-12-01,5938925,20,31,0.52312526007878,16.216883062442182
370815,2025-12-01,5983441,3,10,0.28976437801641436,2.8976437801641435
370815,2025-12-01,5878889,5,24,0.2210315291491445,5.304756699579468
370815,2025-12-01,5826124,4,20,0.23260721653366478,4.652144330673296
400718,2025-12-01,6078233,27,49,0.5260839465196461,25.778113379462656
411772,2025-12-01,6057030,10,19,0.4989273763285752,9.479620150242928
411791,2025-12-01,6057029,8,13,0.5298157935339864,6.887605315941824
411791,2025-12-01,6057052,2,8,0.35341536476322555,2.8273229181058044
411714,2025-12-01,6056999,9,16,0.5015910119162164,8.025456190659462
381446,2025-12-01,5938924,19,35,0.5063593636291216,17.722577727019257
382945,2025-12-01,5879755,15,33,0.5058567908813418,16.69327409908428
382945,2025-12-01,5976623,7,11,0.5851936004126975,6.437129604539673
473312,2025-12-01,5997865,23,41,0.5619207858072351,23.03875221809664
473300,2025-12-01,5879347,21,37,0.552124999983002,20.428624999371074
406600,2025-12-01,5978338,15,19,0.7194584231501577,13.669710039852998
370815,2025-12-01,5825893,4,20,0.23416302260669322,4.683260452133864
370815,2025-12-01,5825970,4,19,0.2627870957530447,4.992954819307849
411767,2025-12-01,6057030,6,19,0.4533978946142283,8.614559997670337
395713,2025-12-01,5997458,14,33,0.40252318995246245,13.283265268431261
371104,2025-12-01,5826120,19,26,0.7185797875188471,18.683074475490024
411817,2025-12-01,6057083,6,16,0.4529134615638759,7.2466153850220145
394348,2025-12-01,5879348,10,27,0.420685492953521,11.358508309745066
373680,2025-12-01,5826125,19,24,0.7874840360122953,18.899616864295087
370979,2025-12-01,5825971,18,22,0.8011525624418184,17.625356373720006
374168,2025-12-01,5799203,6,13,0.5169871814664497,6.720833359063846
439721,2025-12-01,5891227,24,43,0.5017668337101613,21.575973849536936
391984,2025-12-01,5778394,4,21,0.3097736499650638,6.50524664926634
391984,2025-12-01,5853353,4,14,0.2939688881623904,4.115564434273466
371104,2025-12-01,5878885,20,27,0.7119237220521594,19.221940495408305
391984,2025-12-01,5899843,3,15,0.26653195751555914,3.9979793627333873
406632,2025-12-01,6033764,12,19,0.622344181805561,11.824539454305658
409329,2025-12-01,5870308,10,17,0.5872142181694545,9.982641708880728
409342,2025-12-01,5870267,15,24,0.5779511494703191,13.870827587287659
409342,2025-12-01,5870308,10,17,0.5796577961731826,9.854182534944105
406561,2025-12-01,5870002,25,45,0.5112606471722732,23.00672912275229
406569,2025-12-01,5870002,8,45,0.3716454476595364,16.72404514467914
411714,2025-12-01,6056976,9,16,0.5110809420333747,8.177295072533996
391984,2025-12-01,5959395,6,17,0.32138172237415563,5.463489280360646
409329,2025-12-01,5870267,15,24,0.5988811742221125,14.3731481813307
452926,2025-12-01,5976667,8,12,0.5288555049590279,6.346266059508334
401171,2025-12-01,5726930,9,16,0.5207683675770248,8.332293881232397
392438,2025-12-01,5769412,48,75,0.5255721426892295,39.41791070169221
386404,2025-12-01,5753414,4,29,0.15188758918174575,4.4047400862706265
386404,2025-12-01,5816398,6,35,0.17160441120207778,6.006154392072722
386417,2025-12-01,5753414,4,29,0.1569640763209732,4.551958213308223
386417,2025-12-01,5816398,6,35,0.18062528735257316,6.321885057340061
401159,2025-12-01,5734058,15,23,0.6035253247419031,13.881082469063772
365223,2025-12-01,5777004,11,18,0.6019256229156092,10.834661212480967
401241,2025-12-01,5794527,7,14,0.424443601724332,5.942210424140648
401241,2025-12-01,5894751,6,20,0.34092783956798006,6.818556791359601
401241,2025-12-01,5984434,1,4,0.3752024969801615,1.500809987920646
394483,2025-12-01,5830069,7,11,0.5234370414041972,5.757807455446169
394483,2025-12-01,5807209,9,40,0.2663306740356659,10.653226961426636
383091,2025-12-01,5807005,6,26,0.24303574669203262,6.318929413992848
395325,2025-12-01,5788164,12,34,0.3109284566038682,10.571567524531519
383091,2025-12-01,5787960,2,12,0.21672669896345498,2.6007203875614597
392799,2025-12-01,6029559,27,45,0.5619743019531378,25.2888435878912
392809,2025-12-01,6029559,26,45,0.5420566087836621,24.392547395264796
393013,2025-12-01,6022766,17,20,0.6760061756665234,13.520123513330468
393025,2025-12-01,6022766,14,20,0.602556132139949,12.05112264279898
452926,2025-12-01,6115669,5,12,0.40520662571849736,4.862479508621968
382809,2025-12-01,5879555,9,31,0.35447160857996746,10.988619865978992
387571,2025-12-01,5796255,3,24,0.16127321870644395,3.870557248954655
392834,2025-12-01,6069579,18,38,0.4472498390854852,16.99549388524844
394496,2025-12-01,5807211,12,49,0.22406985507040877,10.97942289845003
387571,2025-12-01,5937307,8,44,0.19848166758886068,8.73319337390987
452926,2025-12-01,5753213,13,34,0.3262589444428744,11.09280411105773
399346,2025-12-01,5794142,11,18,0.5643848013671401,10.158926424608522
399356,2025-12-01,5794142,11,18,0.5712069734078055,10.281725521340498
395810,2025-12-01,5753213,3,34,0.15810192385792074,5.375465411169305
395810,2025-12-01,5976667,1,12,0.24272882005983484,2.912745840718018
469049,2025-12-01,5770907,7,14,0.456389726282973,6.3894561679616215
469045,2025-12-01,5770907,7,14,0.4918166493566837,6.885433090993572
394536,2025-12-01,5753214,7,29,0.2908496267790538,8.43463917659256
382826,2025-12-01,5866189,1,2,0.576390372903356,1.152780745806712
