EMAIL,SUBGROEPID
u_00a302052160bd1c17a2aaa6bdb84af1643a2da97ee6cccaabd432ca4fc667fc,"[6050162, 6050164, 6050165, 6050221, 6050222, 6050223, 6050225, 6050226, 6050227, 6123438, 6126081, 6126085]"
u_00a53277ab0858093dca7a3bbe9c85ec71e503432cb8d631fac987c84528cbfb,[5792791]
u_00a6fed3c911014751cf3e7c698e04c1530f4c354e8edc62d6124f8101f7a18b,"[5797347, 5797349, 5797355, 5797359, 6020788, 6034498, 6035837, 6035853, 6041234, 6041250, 6041266]"
u_00ae1dc3d87a5d18e280542fe81f0425fbb13cfdeb3c0a199011c7cf53b2736f,"[5886935, 5886957, 5886958, 5894556, 5894557, 5894558, 5894561, 5894564, 5894565, 5894566, 6001437]"
u_00b79176309f7d1850d905db5b28f1b3660af350059546d782ff1e1c291d2a3e,"[5929608, 5929609, 5929614, 5929615, 5929616, 5929618, 5983906, 5983908, 5983909]"
u_00bc338e280a0d88f5a50cfd5e6c5aa9968e4135f87f79ac06415e2294b5acd2,"[5770931, 5770936]"
u_00bffb2bc682df8e1df6aa34f9ea08776ceb1223912aaa20cf0c42f665db7cc8,"[5796256, 5959453, 5959458, 5959460, 5976641, 5976664]"
u_00c0024b51263a360d4015f51f2ddbc7bae61e5a96fbc2b2a587efbefb9dcc58,"[5816398, 5872345, 5872461]"
u_00c3174f83b19d4dd3c9c62bfdb1b1f1031dd5c7a0f1b0793f2460d0c432f08e,"[5799591, 5799592, 5799593, 5807210, 5807215, 5807220, 5807222, 5872095, 5872099, 5938931, 6080998]"
u_00cdc847a2d6eecb93efba0f7d4c9039c00aa5c4fee6323c2541997f231aea7b,"[6142716, 6142720, 6142722, 6142743, 6142744, 6142754, 6142756]"
u_00cf3d07535bbd4941e9d7090873f6d16331c2869d5371ac26c339cf6f479b26,"[5865135, 5865165, 5865166, 5865185, 5865238, 6146223]"
u_00d3baf057f8a8d2d16bf28a3d2bdb789095a743e77d308ae60640504727762a,"[5813705, 5877935, 5903990, 5904149, 6092378, 6092805, 6092875]"
u_00d7e903fc8860d75db90eba177db3419648ea2554a5edf8e370dab3da14f5e7,"[5738861, 5747215, 5747216, 5747225, 5747227, 5754066, 5754068, 5754069, 5869797, 5875830]"
u_00dddd37d24d6c4936ab67893c00ef481331e2f2c2aee0c9bbab20a3b2e7342e,"[5866089, 5916161, 5916162, 5916163, 5916164, 5916165, 5916166, 5916171, 5916173, 5916175, 5916179, 5916180, 5916181, 6081328]"
u_00e5d213e6c6892c0b873a726e08285756ebb6dce71fe3e4616a8d73158be6b4,"[5805942, 5805945, 5805946, 5805966, 5805968, 6008970, 6080916]"
u_00e706d78df9827178d09733a81e25e263556bcb9a3733602c76c62e3bddf5a2,"[5784542, 5784548, 5872851, 5872873, 5872875, 5872881, 5953426, 5953434, 5953442]"
u_00e76d4a2589d2ad82df47f27104f7f3759353c998605ecba68cb496e9b71471,"[5928975, 5928998]"
u_00e7884278e968dbb26dda7c94b06a20deb2a3170364864287c0851a1a7bec7d,"[5762796, 5768795, 5768802, 5768805, 5992681, 6098761]"
u_00e9bdf304165fc43d3506fb5896b2e0cd6f8b2cac19c61711f608955cecb9d8,"[5748422, 5852847, 5866920, 5866927, 5866930]"
u_00e9e9c47bb249ecc8dca305789a05adefcbf30a6e0c327a7e86d765330c1676,[5805966]
u_00ea45281cb546940fa2ff3616b0314d718f6243b29e41976ac5a07bcb3a4287,"[6056608, 6056609, 6056610, 6062417, 6063002, 6063143, 6063145, 6063149]"
u_00ec4fb015e200a4ff1c3ac09d44c4959519ee1d0ba91e0581deda04257195cf,[5868829]
u_00ed39dfb15a652db57b805b1eff1b35b37051418a3cbadcc144d7b795a43ce3,"[5884349, 5884351, 5884354, 5884381, 5884383]"
u_00ed8586c0ff70a97b9c1f5dccb1bcb45aa39f108f01d5fd33a91181ec4c8def,"[6117609, 6117611, 6117612, 6117613, 6117616, 6117618, 6117619, 6117621]"
u_00f258b762abb3d88e561198bf6a1a65de0820257a94050e0d47597f7d991b38,"[5807006, 5807011, 5807016, 5807019, 5807020, 5807021, 6080997]"
u_00f426eb3bc1b9bb39edd1078309cdccd76fd14ab0e8bf0a21519bca1f3bae1a,"[5927732, 5927737, 5927871, 5927877, 5957900, 6077693, 6077716, 6077743]"
u_00f939354311273cfa0e44183446a5141f7bb60c164f2d2e359492421af9f4ea,"[5870156, 5957747, 6008747, 6008803, 6008816, 6016836, 6016850, 6016857, 6016864, 6016871, 6016899, 6016906]"
u_01091ab68cf848f439a78c45dc18567335e9539a712b95f0db287d5bfe2d9321,"[5784825, 5784859, 5784860, 5784861, 5784863, 5784865, 5784866]"
u_011231e9e970021a92fe3bdf3daaba35971005127ff0677b0db3f8b10df17a5a,"[5816398, 5995790, 5995906, 5995907, 5995908, 5995909]"
u_01143861bb08b5510082bc7abf78274986b4459eac310b3a38e6528d63c7a10f,"[5807781, 5807782, 5807799, 5807800, 5807801, 5807802, 5807803, 5807804, 5807805, 5807806]"
u_0116740d17c24c4af44c616b430fbb3ee2f70579546d2d08ec1720858c503c93,"[6058494, 6058495, 6058496, 6058497, 6058499, 6058500, 6058501, 6058503, 6058505, 6058506, 6058731, 6071605]"
u_011fae1cf8d485a90224c10a35b1d04e69c7b4d99b8867258c2d85ca8c3f8aa2,"[5826616, 5826631, 5826633, 5941937, 5941939, 5941941, 5941942, 5941943, 5941944, 5941945, 5941977, 5941982]"
u_012934a4f0bf2852243dc36ae6ad165fd4876801ab5bdfd0bf97e67a211b298c,"[5864887, 5864984, 6035727, 6111989]"
u_012b5dfb3aeba0297c411fa14f06058d77f0949b225e0eac5ff8f315a37a3ee5,[5864984]
u_013078fe687ba6d3cb632772defee3722794aefe68af05d0b063477b32a65ecf,"[5784755, 5784756, 5784757, 5784764, 5784766, 5784767, 5784770, 5784771, 5784772, 5784773, 5784775, 5784776, 5784778]"
u_01374a6d892d04dfa08441cb8e77cc95c8d50ccd7edf4494196510f5c2b99b44,"[5828471, 5836054, 5877942, 6004230]"
u_0139b076f9a61afd502a62a8c879509facca53d1a7adeb3de3754f6ed4372e8a,"[5770761, 5770762, 5770764, 5770765, 5770767, 5770768, 5770770]"
u_01476dc91cbf901c2f994eaf340e387515b1dcf14ae69b1b8ff1e3cbe9130f08,"[6033772, 6033773, 6033774, 6033776, 6033777, 6070665]"
u_0149f4c8b11c0431dbd7e65b953afa71ec01e7d057739a7f5a0849fd048444e0,"[5876546, 5876547, 5876553, 5876559, 5876560]"
u_014aa245c8b703570e66a04abf0c14da2e492d60fcabbeae3dd3669b67fa3564,[5873105]
u_014ad7afe0574fe6775f65a849dbc5cacda2087a285448eb0801939a4c499e7e,"[5984091, 5984095, 5984099, 5984103, 5984112, 6020774, 6020788, 6041234, 6041247, 6041266]"
u_014b996308dd5436ccf16f44c0d96e7cd7d580cf26ac462456b6c0882ef1137b,"[6117609, 6117611, 6117612, 6117613, 6117615, 6117616, 6117618, 6117619, 6117620, 6117621, 6117623]"
u_0153a315e0fb513979435bbfda09b5e3220c8d2ec4b7461f5ccd443e9978680e,"[5837238, 6041105]"
u_015817dafb8ce946ddca795f12252c586de59ea51081e49b6bab1778a434e011,"[5880198, 5880199, 5880200, 5880207, 5880209, 5880212, 5880213, 5880214, 5880215, 5880216, 5880217, 5880218, 5880219, 5880220]"
u_0159d7d1ecbae9cb9f3ef8aa275fc6294a09109c52f5e96b3caf74001ac772b3,"[6007836, 6091495, 6091637, 6091709, 6091779, 6091851, 6092134, 6154494]"
u_015b3c3829ec5e0916e78d8f6061a38089decc2d60b75abf89c64ad18047893b,[5953451]
u_015b79573a53e9f9702e7519ada9d0ab4c52377528bf3329e2fa03e897237942,"[5784959, 5785002]"
u_01610c18366b7f9d56dcdb5dd7f2458dd227b3d5eed0874b93648cfc7578d1e8,"[5799160, 5801246, 5906074, 6019249, 6019794, 6026779, 6026809]"
u_01693d882e2864f4115aef8cfa3d3c08fddf65ed32fe830f5707682014ea93fa,"[5770833, 5770834, 5770836, 5770837, 5770838, 5770841, 5770842]"
u_01771d1b80a469b8c5fbcdecbd459160b4eca802e81b7ee281325945edc05c45,"[5844362, 5844365, 5844374, 5844375, 5844377, 5844378, 5844380, 5844381, 5844382, 5844448, 5844449, 5844450, 5844451, 5844452, 5844453]"
u_0179aa05503d5a39d1ab1e9aaa8a0ebaf58e564fe08ab8961f5622422a54aa26,"[5971346, 5987302, 5987305, 5987311, 5987460, 5987468, 6005503, 6017684, 6080843]"
u_017b30ad1ce803e7542d21481be8f4995a60f27e57620dca3ffc85c1e5fe7543,"[5939509, 5939510, 5959016, 5959018, 5959019, 5959021, 5959023, 5959024, 5959025, 5959026, 5959027, 5959030, 6057670]"
u_017bb3077365202c19ddc6fcae59b5099d99662e41c005ce90b7427c527268c1,"[5983757, 5983822, 5983909, 5983910, 6146052, 6146059]"
u_017d96df5fb4216117333123dd49ca4316a9bc00165f8f389a8c1c20168bef83,"[5791893, 5791899, 5791906, 5791940, 5791946, 5791948, 5791952, 5791956, 5791958]"
u_017ddb5c394a690114ef619ce626ce84b9a027cdd97ce95142d44e875ab19ab4,"[5753210, 5753214, 5753215, 5753230]"
u_017de62a39da4dfd2bf0a9617580fbd0b6f7470d4ffe0ee9abba2ab08fc197c2,"[5844490, 6020816, 6033875, 6035256, 6040645, 6041100, 6101085]"
u_0180a621595aeab0548c395c7774da3aafd198185108f2b2d3b023d48713d4ba,"[5825894, 5825919, 5833354, 5833358, 5833373, 5833396, 5833399, 5833400, 5833401, 5833402, 5983345, 6036753]"
u_0183045b044430c095147bdf19a5974e534c2d34821d10735b9f8e1424a38e38,[5872801]
u_0183fee29e78941e0217d9b89bb69d45f489c1b0db9862d6fdebc6bfe6127c90,"[5870114, 5939419, 5939420, 5939430]"
u_018479069b3b0bc02014df384bc44ed1ecfd8f998aa4cb33b15afe8e6078378f,"[5879001, 5879006, 5879008, 5879011, 5879012, 5879013, 5879014, 5879015, 5879119, 5879120, 5879121, 5879123]"
u_0186a372d274e94518eb1d5fe4a4ebe4270397e8548d951abdf90a49f2e6d753,"[6056609, 6063001, 6063002]"
u_018b6c7d66f31522c6cd8d252cb29493b6ee59b5a177e1e3b2a4a1eff2ed248d,"[5733473, 5733481, 5733483, 5733634, 5733771, 5733772, 5733774, 5733776, 5733777, 6078505]"
u_018b73a56a124ec6e01d4b4d5e58ba34cb126a8bdfa6e90390126293238f5125,"[5994848, 5994849, 5994850, 5994851, 5994854, 5994888, 6126394]"
u_018e3c79300f63ca0ae85378d78a7a197ebf41a1afd4176f652c6edb87cd1a1c,"[6160646, 6160650, 6160651, 6160654, 6160659]"
u_01942bbbed11386837b733767f7c2e7651bb0f41d8b95d6be052b5aaff4649f1,"[5836934, 6033876, 6034802, 6040906, 6040971, 6101228]"
u_019829ceeca6c18a00cef934691458967635e983bb0e1014470b52a8e138cf4a,"[6007831, 6091495, 6091637, 6091709, 6091779, 6091851, 6092063]"
u_0198792c714e3d50a05a261069b1018467fd60d873633db89d93735df48225b8,"[5939510, 5959016, 5959018, 5959019, 5959021, 5959023, 5959024, 5959027, 6057670]"
u_01990c773bdf44d34376a1509a029efe02bddb5d78ee777c4d86fa5b8f3c2ba3,"[5870263, 5870272, 5940369, 6057720]"
u_01a2b436462be9da84549ac064005eb9cb0f284be8e5ab3f655d5bb856b4e7f8,"[6096897, 6096898, 6096899, 6096900, 6096901, 6097183, 6097345]"
u_01a31c09e3ee0e7494696af8a44e8e2122063c7f38039c7668f38e89ab7842ae,"[5794221, 5794224, 5794279, 5794303, 5794304, 5794369, 5794370, 5794381]"
u_01a3c0aadf7d340e6a726b013f68f514d2b605c9b33d8a4413ea1c20c9034ac7,"[6005472, 6005473, 6005503]"
u_01a432570b1898df2074a1406f085da76d36100278384ef3a7dcbb7311eb97e4,"[5747729, 5769409, 5769412, 5769416, 5769418, 5769428, 5769429]"
u_01aa66d15d116f5997ce2024da0bfba59c08acabe31270eecf768b357e31ca29,"[5854632, 5854697, 5874282, 5874283, 5874284, 5874285, 5874287, 5874288, 5874290, 5874291, 5874292]"
u_01aae19f2d64ce8e1edc97820dffdb6b5d56fdd338929b8c9f04d545df161cc8,"[5927963, 5927973, 5927974, 5927975, 5927976, 5927977, 5927978, 5927979, 5927980, 5927981]"
u_01ac2ba462fedd67cd3321b42649aa97888e3755c357c3c6c19b8d1ab278aa68,"[5849323, 6040524, 6040849, 6140076]"
u_01ac5379f4bde43f6fb7ed57c874398498d82d9f277e3e38000a3a925a98a3b2,"[5939289, 5939293, 5939295, 5939306]"
u_01b07937e77cead0d3038b3e240b7b3b07e51add3940361dbf1b31624bbbf357,"[5830469, 6007831, 6091495, 6091637, 6091709, 6091779, 6091851, 6091992, 6155006]"
u_01b7c58259d47a017e1954be023973a0e40148c8cd949093beb758d31f813081,"[5832564, 5991891, 5991897, 6012172, 6012174, 6012301, 6101849, 6144976]"
u_01b7f3c31cc167b2db328b6686d0971d65123cacbcf118b78878d2980a126934,"[5805715, 5805718, 5805720, 5805721, 5805722, 5805723, 5805724, 5805725, 5805726, 5805727, 5805730]"
u_01b7fc3226b8e291b9eafe243ca03b23e57801a78ffcc36b31426df8d80c5cbb,"[5828471, 5836054, 6004230]"
u_01bae3a375924a6952ee39cd63116178af5f1394b39e13377b6470ed141231f1,"[5876542, 5876546, 5876547, 5876548, 5876553, 5876557, 5876558, 5876559, 5876560]"
u_01bb31235bcab2654ceec1b4229cd1ebb06a71ef0a3dde5bd383d7df3774e7f8,"[5807404, 5807414, 5807415, 5807416, 5807417, 5807418, 5807419, 5807420, 5807421, 5807422]"
u_01bf36326cd2b51fe2abe4783c2d9c3b93b2c91b0c2960a5712333a9d479784b,[6115668]
u_01c4d800f0a8086a87e67d261dd29343c446736221b6b46d7b7ef54b1c953fb2,"[5915088, 5915089, 5915091, 5915096, 5915153, 6038983, 6038990]"
u_01c8f35d4902618c9cf8cfd12b8715f86f80e8a4256f3aca50e0bf2292e9d6ac,"[5941310, 5941312, 5941313, 5941314, 5941315, 5941317, 5941318, 5941350, 5941355, 5941477, 5941478, 5941492, 5941494]"
u_01c91af52d75f0f9cf1ee8ca8a35b97346d6b1b985cdef6fe4bf196626f6e274,"[5805799, 5805802, 5805804, 5805805, 5805806, 5805807, 5805808, 5805809, 5805810, 5805811, 5805813, 5805814]"
u_01cd21be524357a6a4171508b760129bfbfbd9974d2650a3a883dcfcf702afbb,"[5728835, 5775117, 5775430]"
u_01d0bc6bce367f61f7af6838d9ad7bd5d0aa0c641413d76bad5b4a027443f9c5,"[5788175, 5788181, 5788183, 6081000]"
u_01dd1159f32842b213ef377f4e41a427ad25dac6361120e6a6bac129e47d6b0f,"[5959417, 5959418]"
u_01dfb7e966ed05b663741d18bf9af870bcaa37f260e91055c99eed1593da130a,"[5792520, 5792538, 5813705, 6092378, 6092735, 6092805, 6104933]"
u_01e1f024f345c5f1500d0209cdfb2963156f61c23d286929d8a0a4792be640e1,"[5852849, 5852851, 5866927, 5866930, 6106491, 6106725]"
u_01e7628f86ac8d2471f46e39253b6477a0d307ed0f22b6a6e48dbb864db42e54,"[6062417, 6062502, 6062937, 6062959, 6062960, 6062961]"
u_01e7ada703082f5ddd9f4e3b9c233c967fdb93f649c6b666d9303db0d1f3a283,"[6038983, 6038990, 6038996, 6078055, 6078106, 6078157]"
